Country,Rice(ha),Rice(t),Rice(Kcal),Rice(%),Rice new(ha),Rice new(t),Rice new(Kcal),Corn(ha),Corn(t),Corn(Kcal),Corn(%),Corn new(ha),Corn new(t),Corn new(Kcal),Wheat(ha),Wheat(t),Wheat(Kcal),Wheat(%),Wheat new(ha),Wheat new(t),Wheat new(Kcal),Soya(ha),Soya(t),Soya(Kcal),Soya(%),Soya new(ha),Soya new(t),Soya new(Kcal),Roots and tubers(ha),Roots and tubers(t),Roots and tubers(Kcal),Roots and tubers(%),Roots and tubers new(ha),Roots and tubers new(t),Roots and tubers new(Kcal),sum(ha),sum(t),sum(Kcal),sum new(ha),sum new(t),sum new(Kcal),Calorie difference(%)
brunei,522,1047,7147935246,95.00%,993.7,1993.11092,13607094356,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,524,588,3317890689,5.00%,52.3,58.68778626,331155883.6,1046,1635,10465825934,1046,2051.798706,13938250240,33.18%
Burundi,29220,37133,4.0012E+11,20.00%,47551,60428.17533,6.51133E+11,190003,290498,1.19305E+12,70.00%,166428.5,254454.6475,1.04503E+12,16145,22751,1.8748E+11,5.00%,11887.75,16751.82411,1.38044E+11,2387,4582,29717740224,5.00%,11887.75,22819.30059,1.48E+11,0,0,0,0.00%,0,0,0,237755,354964,1.81037E+12,237755,354453.9475,1.9822E+12,9.49%
Cambodia,1988780,7101691,2.72331E+13,95.00%,2109804.65,7533855.275,2.88903E+13,123439,604333,7.7509E+11,2.00%,44416.94,217456.5786,2.789E+11,0,0,0,3.00%,66625.41,0,7.73672E+11,105000,170000,1.30723E+12,0.00%,0,0,0,3628,42320,22971960721,0.00%,0,0,0,2220847,7918344,2.93384E+13,2220847,7751311.854,2.99429E+13,2.06%
Canada,0,0,0,0.00%,0,0,0,1430700,13884800,8.98356E+12,10.00%,1385130,13442547.72,8.69742E+12,9881000,31769200,1.14741E+14,60.00%,8310780,26720659.04,9.65069E+13,2539600,7266600,3.16176E+13,20.00%,2770260,7926591.32,3.44893E+13,0,0,0,10.00%,1385130,0,8.77044E+12,13851300,52920600,1.55342E+14,13851300,48089798.08,1.48464E+14,-4.43%
Chad,123945,173113,1.69722E+12,25.00%,116654.5,162930.4164,1.59739E+12,341872,437898,2.14666E+12,75.00%,349963.5,448262.264,2.19747E+12,801,1798,9301420340,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,466618,612809,3.85319E+12,466618,611192.6804,3.79486E+12,-1.51%
Chile,19691,128603,2.69636E+11,5.00%,17258.2,112714.2499,2.36323E+11,89058,1110608,5.59207E+11,20.00%,69032.8,860881.4474,4.33466E+11,236415,1469003,2.74531E+12,70.00%,241614.8,1501312.802,2.80569E+12,0,0,0,0.00%,0,0,0,0,0,0,5.00%,17258.2,0,1.09276E+11,345164,2708214,3.57416E+12,345164,2474908.499,3.58476E+12,0.30%
China,20317458,142790557,2.78214E+14,28.00%,26522308.68,186398083.3,3.6318E+14,42158995,257348659,2.64722E+14,12.00%,11366703.72,69385097.05,7.13731E+13,24268794,131447224,2.81816E+14,24.00%,22733407.44,123131100,2.63986E+14,7973877,14193621,9.92734E+13,24.00%,22733407.44,40465807.19,2.83027E+14,3407,49676,21572621328,12.00%,11366703.72,165733012.6,7.19723E+13,94722531,545829737,9.24047E+14,94722531,585113100.2,1.05354E+15,14.01%
Colombia,424321,2216399,5.81038E+12,60.00%,520988.4,2721331.654,7.13408E+12,391389,1388246,2.45758E+12,40.00%,347325.6,1231954.334,2.1809E+12,6811,11139,79091103541,0.00%,0,0,0,28000,77000,3.48595E+11,0.00%,0,0,0,17793,140384,1.12663E+11,0.00%,0,0,0,868314,3833168,8.80831E+12,868314,3953285.988,9.31499E+12,5.75%
Costa rica,23222,105593,3.17987E+11,90.00%,24956.1,113478.1443,3.41733E+11,3302,5358,20733704226,5.00%,1386.45,2249.727165,8705706912,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,1205,10479,7629882213,5.00%,1386.45,12056.93739,8778796842,27729,121430,3.46351E+11,27729,127784.8089,3.59217E+11,3.71%
Croatia,0,0,0,0.00%,0,0,0,235352,2147275,1.47781E+12,50.00%,225447.5,2056909.568,1.41562E+12,138456,744405,1.60779E+12,30.00%,135268.5,727267.4911,1.57077E+12,77087,245188,9.5972E+11,20.00%,90179,286829.2793,1.12271E+12,0,0,0,0.00%,0,0,0,450895,3136868,4.04531E+12,450895,3071006.338,4.1091E+12,1.58%
