Country or Area,Element,Year,Unit,Soya Value
Brazil,Yield,2018,hg/ha,33903
Southern Europe,Yield,2018,hg/ha,33674
Western Asia,Area harvested,2018,ha,33666
Serbia,Yield,2018,hg/ha,32860
Turkey,Area harvested,2018,ha,32848
Switzerland,Yield,2018,hg/ha,32098
Egypt,Yield,2018,hg/ha,32000
Thailand,Area harvested,2018,ha,32000
Croatia,Yield,2018,hg/ha,31807
Americas,Yield,2018,hg/ha,31656
Paraguay,Yield,2018,hg/ha,31470
Burkina Faso,Production,2018,tonnes,31314
Northern Africa,Yield,2018,hg/ha,30909
Slovenia,Yield,2018,hg/ha,30359
South America,Yield,2018,hg/ha,29956
European Union,Yield,2018,hg/ha,29668
Albania,Yield,2018,hg/ha,29407
Uganda,Production,2018,tonnes,29000
Spain,Yield,2018,hg/ha,28690
Canada,Yield,2018,hg/ha,28613
Hungary,Yield,2018,hg/ha,28280
Burkina Faso,Area harvested,2018,ha,28206
Greece,Yield,2018,hg/ha,28159
Colombia,Area harvested,2018,ha,28000
World,Yield,2018,hg/ha,27914
Nepal,Production,2018,tonnes,27681
Romania,Yield,2018,hg/ha,27598
Colombia,Yield,2018,hg/ha,27500
Austria,Yield,2018,hg/ha,27260
Bosnia and Herzegovina,Yield,2018,hg/ha,27197
Republic of Moldova,Area harvested,2018,ha,27150
Land Locked Developing Countries,Yield,2018,hg/ha,26619
Angola,Area harvested,2018,ha,26353
Western Europe,Yield,2018,hg/ha,26270
France,Yield,2018,hg/ha,26036
Ukraine,Yield,2018,hg/ha,25804
Democratic Republic of the Congo,Production,2018,tonnes,25772
Ecuador,Production,2018,tonnes,25504
Guatemala,Yield,2018,hg/ha,25333
Czechia,Production,2018,tonnes,25259
Nicaragua,Yield,2018,hg/ha,25000
Iran (Islamic Republic of),Yield,2018,hg/ha,24706
Germany,Yield,2018,hg/ha,24583
Ethiopia,Yield,2018,hg/ha,24500
Germany,Area harvested,2018,ha,24000
Rwanda,Production,2018,tonnes,23804
Bosnia and Herzegovina,Production,2018,tonnes,23332
Argentina,Yield,2018,hg/ha,23157
Ecuador,Area harvested,2018,ha,23134
Syrian Arab Republic,Yield,2018,hg/ha,23077
Slovakia,Yield,2018,hg/ha,23072
Nepal,Area harvested,2018,ha,21897
Bolivia (Plurinational State of),Yield,2018,hg/ha,21587
Europe,Yield,2018,hg/ha,21302
Republic of Moldova,Yield,2018,hg/ha,21246
Honduras,Yield,2018,hg/ha,21128
Cameroon,Production,2018,tonnes,20824
Kazakhstan,Yield,2018,hg/ha,20663
Central Asia,Yield,2018,hg/ha,20540
Bulgaria,Yield,2018,hg/ha,19646
South Africa,Yield,2018,hg/ha,19563
Southern Africa,Yield,2018,hg/ha,19563
Eastern Europe,Yield,2018,hg/ha,19459
Uzbekistan,Yield,2018,hg/ha,19005
Poland,Yield,2018,hg/ha,18856
Belize,Yield,2018,hg/ha,18397
Peru,Yield,2018,hg/ha,18393
El Salvador,Yield,2018,hg/ha,18199
Small Island Developing States,Yield,2018,hg/ha,18068
"China, mainland",Yield,2018,hg/ha,17801
China,Yield,2018,hg/ha,17800
Central America,Yield,2018,hg/ha,17764
Lao People's Democratic Republic,Yield,2018,hg/ha,17717
Kyrgyzstan,Yield,2018,hg/ha,17696
Eastern Asia,Yield,2018,hg/ha,17672
Republic of Korea,Yield,2018,hg/ha,17657
Thailand,Yield,2018,hg/ha,17500
Australia,Yield,2018,hg/ha,17027
Australia and New Zealand,Yield,2018,hg/ha,17027
Oceania,Yield,2018,hg/ha,17027
Mexico,Yield,2018,hg/ha,16997
Ghana,Yield,2018,hg/ha,16804
Bangladesh,Yield,2018,hg/ha,16603
Czechia,Yield,2018,hg/ha,16585
Sri Lanka,Yield,2018,hg/ha,16545
North Macedonia,Yield,2018,hg/ha,16485
Cambodia,Yield,2018,hg/ha,16190
Zambia,Yield,2018,hg/ha,15772
Northern Africa,Area harvested,2018,ha,15766
Cameroon,Area harvested,2018,ha,15620
Viet Nam,Yield,2018,hg/ha,15244
Czechia,Area harvested,2018,ha,15230
Timor-Leste,Yield,2018,hg/ha,15013
Egypt,Area harvested,2018,ha,15000
Guatemala,Area harvested,2018,ha,15000
Zimbabwe,Yield,2018,hg/ha,15000
C么te d'Ivoire,Yield,2018,hg/ha,14752
Russian Federation,Yield,2018,hg/ha,14692
Other non-specified areas,Yield,2018,hg/ha,14578
Asia,Yield,2018,hg/ha,14524
Japan,Yield,2018,hg/ha,14413
Mali,Area harvested,2018,ha,13906
Africa,Yield,2018,hg/ha,13600
South-eastern Asia,Yield,2018,hg/ha,13561
Philippines,Yield,2018,hg/ha,13421
Cameroon,Yield,2018,hg/ha,13331
Indonesia,Yield,2018,hg/ha,13174
Small Island Developing States,Production,2018,tonnes,12791
Nepal,Yield,2018,hg/ha,12641
Democratic People's Republic of Korea,Yield,2018,hg/ha,12617
Eastern Africa,Yield,2018,hg/ha,12484
Southern Asia,Yield,2018,hg/ha,12210
Uruguay,Yield,2018,hg/ha,12138
Net Food Importing Developing Countries,Yield,2018,hg/ha,12125
India,Yield,2018,hg/ha,12093
Low Income Food Deficit Countries,Yield,2018,hg/ha,12072
Myanmar,Yield,2018,hg/ha,11937
Least Developed Countries,Yield,2018,hg/ha,11875
Belize,Production,2018,tonnes,11776
Angola,Production,2018,tonnes,11557
Uzbekistan,Production,2018,tonnes,11399
Benin,Yield,2018,hg/ha,11108
Burkina Faso,Yield,2018,hg/ha,11102
Ecuador,Yield,2018,hg/ha,11024
United Republic of Tanzania,Yield,2018,hg/ha,10501
Western Africa,Yield,2018,hg/ha,10451
Poland,Production,2018,tonnes,10271
Nicaragua,Production,2018,tonnes,10000
Suriname,Yield,2018,hg/ha,10000
Venezuela (Bolivarian Republic of),Yield,2018,hg/ha,10000
Malawi,Yield,2018,hg/ha,9813
Kenya,Yield,2018,hg/ha,9779
Nigeria,Yield,2018,hg/ha,9710
Pakistan,Yield,2018,hg/ha,9667
Morocco,Yield,2018,hg/ha,9556
Greece,Production,2018,tonnes,9490
Gabon,Yield,2018,hg/ha,8718
Bhutan,Yield,2018,hg/ha,8621
Bosnia and Herzegovina,Area harvested,2018,ha,8579
Lao People's Democratic Republic,Production,2018,tonnes,8380
Iraq,Yield,2018,hg/ha,7810
Liberia,Area harvested,2018,ha,7720
Small Island Developing States,Area harvested,2018,ha,7079
Mali,Production,2018,tonnes,6693
Belize,Area harvested,2018,ha,6401
Middle Africa,Yield,2018,hg/ha,6070
Uganda,Yield,2018,hg/ha,6042
Venezuela (Bolivarian Republic of),Area harvested,2018,ha,6000
Venezuela (Bolivarian Republic of),Production,2018,tonnes,6000
Uzbekistan,Area harvested,2018,ha,5998
United Republic of Tanzania,Production,2018,tonnes,5993
Azerbaijan,Yield,2018,hg/ha,5952
Madagascar,Yield,2018,hg/ha,5904
United Republic of Tanzania,Area harvested,2018,ha,5708
El Salvador,Production,2018,tonnes,5694
Poland,Area harvested,2018,ha,5447
Slovenia,Production,2018,tonnes,5331
Burundi,Yield,2018,hg/ha,5209
Switzerland,Production,2018,tonnes,5206
Mali,Yield,2018,hg/ha,4813
Lao People's Democratic Republic,Area harvested,2018,ha,4730
Gabon,Area harvested,2018,ha,4653
Democratic Republic of the Congo,Yield,2018,hg/ha,4613
Burundi,Area harvested,2018,ha,4582
Bulgaria,Production,2018,tonnes,4548
Rwanda,Yield,2018,hg/ha,4486
Togo,Yield,2018,hg/ha,4405
Other non-specified areas,Production,2018,tonnes,4404
Angola,Yield,2018,hg/ha,4385
Liberia,Yield,2018,hg/ha,4262
Spain,Production,2018,tonnes,4249
Gabon,Production,2018,tonnes,4057
Nicaragua,Area harvested,2018,ha,4000
Panama,Yield,2018,hg/ha,3753
Togo,Area harvested,2018,ha,3538
Tajikistan,Yield,2018,hg/ha,3439
Greece,Area harvested,2018,ha,3370
Liberia,Production,2018,tonnes,3290
El Salvador,Area harvested,2018,ha,3129
Other non-specified areas,Area harvested,2018,ha,3021
Kyrgyzstan,Production,2018,tonnes,2872
Sri Lanka,Production,2018,tonnes,2500
Burundi,Production,2018,tonnes,2387
