Country or Area,Rice(ha),%Rice,Corn(ha),%Corn,Wheat(ha),%Wheat,Soya(ha),%Soya,Roots and tubers(ha),%Root,sum(ha)
Guyana,111496,95.00%,3125,3.00%,,0.00%,,0.00%,2612,2.00%,117233
Armenia,,0.00%,1383,2.00%,66378,98.00%,,0.00%,,0.00%,67761
Haiti,45266,20.00%,260000,70.00%,,0.00%,,0.00%,25904,10.00%,331170
Rwanda,22815,10.00%,295739,80.00%,10761,5.00%,23804,5.00%,,0.00%,353119
Sierra leone,531168,98.00%,10720,2.00%,,0.00%,,0.00%,,0.00%,541888
Burundi,29220,20.00%,190003,70.00%,16145,5.00%,2387,5.00%,,0.00%,237755
Costa rica,23222,90.00%,3302,5.00%,,0.00%,,0.00%,1205,5.00%,27729
Gambia,35891,50.00%,39383,50.00%,,0.00%,,0.00%,,0.00%,75274
Guinea-Bissau,79146,90.00%,6918,5.00%,,0.00%,,0.00%,13461,5.00%,99525
Luxembourg,,0.00%,91,0.00%,12984,100.00%,,0.00%,,0.00%,13075
Lebanon,,0.00%,869,2.00%,40216,98.00%,,0.00%,,0.00%,41085
Mongolia,,0.00%,,0.00%,342666,100.00%,,0.00%,,0.00%,342666
Bhutan,13803,40.00%,27343,50.00%,2130,5.00%,226,0.00%,2066,5.00%,45568
Liberia,158806,98.00%,,0.00%,,0.00%,3290,2.00%,,0.00%,162096
namibia,,0.00%,25172,40.00%,1149,2.00%,,0.00%,42538,58.00%,68859
Cyprus,,0.00%,,0.00%,8485,100.00%,,0.00%,,0.00%,8485
Jordan,,0.00%,1033,5.00%,18049,95.00%,,0.00%,,0.00%,19082
Mauritania,29156,60.00%,15519,30.00%,3408,10.00%,,0.00%,,0.00%,48083
Belize,1813,5.00%,18488,70.00%,,0.00%,6401,25.00%,22,0.00%,26724
Papua New Guinea,272,1.00%,2723,9.00%,,0.00%,,0.00%,24490,90.00%,27485
Qatar,,0.00%,149,95.00%,6,5.00%,,0.00%,,0.00%,155
Kuwait,,0.00%,504,100.00%,3,0.00%,,0.00%,,0.00%,507
Sao Tome and Principe,,0.00%,462,90.00%,,0.00%,,0.00%,52,10.00%,514
Jamaica,,50.00%,1896,25.00%,,0.00%,,0.00%,1562,25.00%,3458
brunei,522,95.00%,,0.00%,,0.00%,,0.00%,524,5.00%,1046
Puerto Rico,88,30.00%,53,10.00%,,0.00%,,0.00%,291,60.00%,432
Dominican,128467,95.00%,26111,5.00%,,0.00%,,0.00%,,0.00%,154578
United Arab emirates,,0.00%,314,100.00%,,0.00%,,0.00%,,0.00%,314
Antigua and Barbuda,,0.00%,47,100.00%,,0.00%,,0.00%,,0.00%,47
Guam,,90.00%,21,5.00%,,0.00%,,0.00%,174,5.00%,195
Maldives,,90.00%,29,5.00%,,0.00%,,0.00%,475,5.00%,504
